"Name","num_epochs","learning_rate","alpha_pos","alpha_neg","gamma_pos","gamma_neg","train_loss","train_acc","test_loss","test_acc"
"TreeLSTM_focal_a0.3_0.65_g3.5_1.5","5","0.0005","0.3","0.65","3.5","1.5","0.019333887749188948","0.929","0.023019366020050187","0.93"
"TreeLSTM_focal_a0.25_0.7_g3.5_1.5","5","0.0005","0.25","0.7","3.5","1.5","0.016095568270732958","0.926","0.024325888568105605","0.93"
"TreeLSTM_focal_a0.3_0.75_g3_1.5","5","0.0005","0.3","0.75","3","1.5","0.023015211971979293","0.929","0.028468625978208505","0.93"
"TreeLSTM_focal_a0.35_0.75_g2.5_2","5","0.0005","0.35","0.75","2.5","2","0.02109664582484771","0.933","0.026788998395204544","0.93"
"TreeLSTM_focal_a0.25_0.7_g3_2.5","5","0.0005","0.25","0.7","3","2.5","0.011988417456103932","0.93","0.015429868506124388","0.93"
"TreeLSTM_focal_a0.35_0.65_g3_2.5","5","0.0005","0.35","0.65","3","2.5","0.014446366508121766","0.938","0.016611102825173966","0.93"
"TreeLSTM_focal_a0.3_0.75_g2.5_1.5","5","0.0005","0.3","0.75","2.5","1.5","0.02143358886389742","0.939","0.02687857085122512","0.93"
"TreeLSTM_focal_a0.3_0.7_g3.5_2.5","5","0.0005","0.3","0.7","3.5","2.5","0.013437145101349978","0.924","0.015313634971299997","0.925"
"TreeLSTM_focal_a0.35_0.7_g2.5_2.5","5","0.0005","0.35","0.7","2.5","2.5","0.016235370525262423","0.938","0.018619967230524007","0.925"
"TreeLSTM_focal_a0.35_0.7_g2.5_2","5","0.0005","0.35","0.7","2.5","2","0.01978972973671579","0.942","0.02490235291994535","0.925"
"TreeLSTM_focal_a0.35_0.65_g3.5_1.5","5","0.0005","0.35","0.65","3.5","1.5","0.02190667727873439","0.931","0.023520583143601052","0.925"
"TreeLSTM_focal_a0.35_0.7_g3_2","5","0.0005","0.35","0.7","3","2","0.017848815210902737","0.938","0.02089606619511659","0.925"
"TreeLSTM_focal_a0.3_0.7_g2.5_1.5","5","0.0005","0.3","0.7","2.5","1.5","0.023741757770675043","0.933","0.02988357634211962","0.925"
"TreeLSTM_focal_a0.25_0.7_g2.5_2","5","0.0005","0.25","0.7","2.5","2","0.016217419970041468","0.936","0.019216426612379454","0.925"
"TreeLSTM_focal_a0.25_0.65_g2.5_2","5","0.0005","0.25","0.65","2.5","2","0.01527838917848255","0.93","0.016500341562697522","0.925"
"TreeLSTM_focal_a0.3_0.65_g3.5_2.5","5","0.0005","0.3","0.65","3.5","2.5","0.011372273307411916","0.932","0.012918388506827446","0.925"
"TreeLSTM_focal_a0.35_0.7_g3_2.5","5","0.0005","0.35","0.7","3","2.5","0.0145301189391859","0.935","0.01620283121099839","0.925"
"TreeLSTM_focal_a0.25_0.65_g3_1.5","5","0.0005","0.25","0.65","3","1.5","0.020396502784615946","0.919","0.02242428852388492","0.925"
"TreeLSTM_focal_a0.25_0.75_g2.5_1.5","5","0.0005","0.25","0.75","2.5","1.5","0.024196659820893453","0.929","0.028144107594226416","0.925"
"TreeLSTM_focal_a0.25_0.7_g3_1.5","5","0.0005","0.25","0.7","3","1.5","0.019148573704389115","0.932","0.022213179653940297","0.925"
"TreeLSTM_focal_a0.25_0.65_g2.5_2.5","5","0.0005","0.25","0.65","2.5","2.5","0.013327578962263132","0.937","0.015794402865979534","0.925"
"TreeLSTM_focal_a0.25_0.7_g3.5_2.5","5","0.0005","0.25","0.7","3.5","2.5","0.012650250878539824","0.918","0.0144190016345909","0.925"
"TreeLSTM_focal_a0.25_0.75_g2.5_2","5","0.0005","0.25","0.75","2.5","2","0.019098914342947183","0.933","0.02150351582811429","0.92"
"TreeLSTM_focal_a0.3_0.75_g3.5_2.5","5","0.0005","0.3","0.75","3.5","2.5","0.011891710509117396","0.933","0.013088112911925864","0.92"
"TreeLSTM_focal_a0.25_0.75_g3.5_2","5","0.0005","0.25","0.75","3.5","2","0.013684323061228037","0.927","0.01514782036583011","0.92"
"TreeLSTM_focal_a0.3_0.7_g3.5_2","5","0.0005","0.3","0.7","3.5","2","0.014318159038555763","0.93","0.01641430674443165","0.92"
"TreeLSTM_focal_a0.35_0.7_g3.5_1.5","5","0.0005","0.35","0.7","3.5","1.5","0.021800663832220298","0.926","0.02434783711886177","0.92"
"TreeLSTM_focal_a0.25_0.75_g3.5_1.5","5","0.0005","0.25","0.75","3.5","1.5","0.018784158445510363","0.918","0.02143349632835732","0.92"
"TreeLSTM_focal_a0.35_0.65_g3.5_2","5","0.0005","0.35","0.65","3.5","2","0.015120909682341983","0.93","0.017581809509115722","0.92"
"TreeLSTM_focal_a0.35_0.65_g3.5_2.5","5","0.0005","0.35","0.65","3.5","2.5","0.014233967119325248","0.928","0.01377614952910405","0.92"
"TreeLSTM_focal_a0.25_0.65_g2.5_1.5","5","0.0005","0.25","0.65","2.5","1.5","0.01966238601340188","0.935","0.022731228445011836","0.92"
"TreeLSTM_focal_a0.35_0.65_g2.5_2.5","5","0.0005","0.35","0.65","2.5","2.5","0.01503463004094859","0.94","0.01702137031735709","0.92"
"TreeLSTM_focal_a0.3_0.65_g3.5_2","5","0.0005","0.3","0.65","3.5","2","0.016068658724959408","0.931","0.0176121279454002","0.92"
"TreeLSTM_focal_a0.35_0.7_g3_1.5","5","0.0005","0.35","0.7","3","1.5","0.02373317462052145","0.935","0.026401477221112985","0.92"
"TreeLSTM_focal_a0.25_0.65_g3_2","5","0.0005","0.25","0.65","3","2","0.017601748884079","0.925","0.0173289727849456","0.92"
"TreeLSTM_focal_a0.35_0.65_g2.5_1.5","5","0.0005","0.35","0.65","2.5","1.5","0.026994711933805357","0.93","0.029617946594953537","0.92"
"TreeLSTM_focal_a0.25_0.65_g3_2.5","5","0.0005","0.25","0.65","3","2.5","0.010874975982698655","0.939","0.012657809250343304","0.92"
"TreeLSTM_focal_a0.25_0.75_g2.5_2.5","5","0.0005","0.25","0.75","2.5","2.5","0.01379315255741988","0.932","0.015601779316337062","0.92"
"TreeLSTM_focal_a0.3_0.75_g3.5_2","5","0.0005","0.3","0.75","3.5","2","0.016706951649948246","0.917","0.018509681050020915","0.92"
"TreeLSTM_focal_a0.35_0.7_g3.5_2","5","0.0005","0.35","0.7","3.5","2","0.016565585069151387","0.931","0.018076849778970845","0.92"
"TreeLSTM_focal_a0.25_0.75_g3.5_2.5","5","0.0005","0.25","0.75","3.5","2.5","0.011364666615716286","0.927","0.012931579222472817","0.92"
"TreeLSTM_focal_a0.3_0.7_g3.5_1.5","5","0.0005","0.3","0.7","3.5","1.5","0.021255657572062717","0.927","0.021307939735169593","0.92"
"TreeLSTM_focal_a0.3_0.75_g3_2.5","5","0.0005","0.3","0.75","3","2.5","0.014951670505402108","0.932","0.016152728886271898","0.92"
"TreeLSTM_focal_a0.25_0.7_g2.5_2.5","5","0.0005","0.25","0.7","2.5","2.5","0.012073292881102551","0.935","0.014638189324894205","0.92"
"TreeLSTM_focal_a0.3_0.65_g3_2","5","0.0005","0.3","0.65","3","2","0.020002753222509037","0.911","0.021463193429204133","0.92"
"TreeLSTM_focal_a0.35_0.75_g3_2","5","0.0005","0.35","0.75","3","2","0.017242240967110745","0.934","0.01982696236182864","0.92"
"TreeLSTM_focal_a0.3_0.65_g2.5_2.5","5","0.0005","0.3","0.65","2.5","2.5","0.01389661825276793","0.939","0.017823480786039278","0.92"
"TreeLSTM_focal_a0.35_0.65_g3_1.5","5","0.0005","0.35","0.65","3","1.5","0.023131192277466493","0.923","0.024642539210617542","0.92"
"TreeLSTM_focal_a0.35_0.75_g3.5_2","5","0.0005","0.35","0.75","3.5","2","0.01978902920104918","0.927","0.02064831187733664","0.92"
"TreeLSTM_focal_a0.35_0.75_g2.5_1.5","5","0.0005","0.35","0.75","2.5","1.5","0.028794731471746687","0.928","0.03131849415457019","0.92"
"TreeLSTM_focal_a0.35_0.75_g3.5_1.5","5","0.0005","0.35","0.75","3.5","1.5","0.024954447907114787","0.933","0.028468865292290084","0.92"
"TreeLSTM_focal_a0.35_0.7_g2.5_1.5","5","0.0005","0.35","0.7","2.5","1.5","0.02863146454125406","0.932","0.02898331025901895","0.92"
"TreeLSTM_focal_a0.3_0.7_g3_2","5","0.0005","0.3","0.7","3","2","0.0165108669224003","0.936","0.018806404255044","0.92"
"TreeLSTM_focal_a0.3_0.65_g2.5_2","5","0.0005","0.3","0.65","2.5","2","0.017097241625869796","0.939","0.019493068425128095","0.92"
"TreeLSTM_focal_a0.25_0.75_g3_2.5","5","0.0005","0.25","0.75","3","2.5","0.011598068274675853","0.93","0.013796827191701876","0.92"
"TreeLSTM_focal_a0.25_0.7_g3_2","5","0.0005","0.25","0.7","3","2","0.015105861641969236","0.929","0.018618841010790605","0.92"
"TreeLSTM_focal_a0.3_0.65_g3_2.5","5","0.0005","0.3","0.65","3","2.5","0.013233243569081263","0.935","0.01497895815051519","0.92"
"TreeLSTM_focal_a0.3_0.75_g2.5_2","5","0.0005","0.3","0.75","2.5","2","0.019655914703709264","0.931","0.021174438100738022","0.92"
"TreeLSTM_focal_a0.35_0.7_g3.5_2.5","5","0.0005","0.35","0.7","3.5","2.5","0.011455215498923308","0.941","0.013192863006574605","0.915"
"TreeLSTM_focal_a0.35_0.75_g3.5_2.5","5","0.0005","0.35","0.75","3.5","2.5","0.017708327680353134","0.752","0.017551989796069953","0.915"
"TreeLSTM_focal_a0.3_0.65_g2.5_1.5","5","0.0005","0.3","0.65","2.5","1.5","0.02107539862054326","0.935","0.028476984481900357","0.915"
"TreeLSTM_focal_a0.3_0.75_g3_2","5","0.0005","0.3","0.75","3","2","0.017413459563006956","0.933","0.02119938506243321","0.915"
"TreeLSTM_focal_a0.3_0.7_g3_1.5","5","0.0005","0.3","0.7","3","1.5","0.026511140271193452","0.915","0.02683398711423461","0.915"
"TreeLSTM_focal_a0.25_0.75_g3_2","5","0.0005","0.25","0.75","3","2","0.01624100303484334","0.931","0.019780573148566943","0.915"
"TreeLSTM_focal_a0.25_0.65_g3.5_2.5","5","0.0005","0.25","0.65","3.5","2.5","0.00988296084919028","0.939","0.011201467723227464","0.915"
"TreeLSTM_focal_a0.3_0.7_g2.5_2","5","0.0005","0.3","0.7","2.5","2","0.01940229795097063","0.937","0.01928798154068108","0.915"
"TreeLSTM_focal_a0.25_0.7_g2.5_1.5","5","0.0005","0.25","0.7","2.5","1.5","0.02357493848022487","0.925","0.024764849410320703","0.915"
"TreeLSTM_focal_a0.35_0.65_g3_2","5","0.0005","0.35","0.65","3","2","0.019099571291239015","0.933","0.019780664346539054","0.915"
"TreeLSTM_focal_a0.25_0.7_g3.5_2","5","0.0005","0.25","0.7","3.5","2","0.01519261608048091","0.924","0.01792060272195018","0.915"
"TreeLSTM_focal_a0.3_0.75_g2.5_2.5","5","0.0005","0.3","0.75","2.5","2.5","0.015706963375181196","0.931","0.017595208841017805","0.915"
"TreeLSTM_focal_a0.35_0.65_g2.5_2","5","0.0005","0.35","0.65","2.5","2","0.019323764797595757","0.94","0.022318989898149785","0.915"
"TreeLSTM_focal_a0.25_0.65_g3.5_1.5","5","0.0005","0.25","0.65","3.5","1.5","0.017589409480847064","0.92","0.021522478952717323","0.915"
"TreeLSTM_focal_a0.35_0.75_g3_2.5","5","0.0005","0.35","0.75","3","2.5","0.01639907673326513","0.932","0.019904960627452686","0.915"
"TreeLSTM_focal_a0.3_0.75_g3.5_1.5","5","0.0005","0.3","0.75","3.5","1.5","0.02238482836308697","0.924","0.024577278966227405","0.915"
"TreeLSTM_focal_a0.35_0.75_g2.5_2.5","5","0.0005","0.35","0.75","2.5","2.5","0.01619480597964","0.934","0.018353449144902136","0.915"
"TreeLSTM_focal_a0.3_0.7_g2.5_2.5","5","0.0005","0.3","0.7","2.5","2.5","0.013948022563468724","0.939","0.018445051713989902","0.91"
"TreeLSTM_focal_a0.25_0.75_g3_1.5","5","0.0005","0.25","0.75","3","1.5","0.020406636209892377","0.919","0.023358507386337105","0.91"
"TreeLSTM_focal_a0.35_0.75_g3_1.5","5","0.0005","0.35","0.75","3","1.5","0.02507534234725412","0.93","0.03254017230266562","0.91"
"TreeLSTM_focal_a0.3_0.7_g3_2.5","5","0.0005","0.3","0.7","3","2.5","0.013609254658813514","0.933","0.021700987341598824","0.905"
"TreeLSTM_focal_a0.3_0.65_g3_1.5","5","0.0005","0.3","0.65","3","1.5","0.02468238396215297","0.916","0.02823936201345462","0.9"
"TreeLSTM_focal_a0.25_0.65_g3.5_2","5","0.0005","0.25","0.65","3.5","2","0.01315465635280051","0.931","0.02031396358059003","0.895"